CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/13/2013,9:30,BROOKLYN,11211,40.7147548,-73.9494805,"(40.7147548, -73.9494805)",LORIMER STREET                  ,CONSELYEA STREET                ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,199213,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/26/2017,8:25,QUEENS,11420,40.666893,-73.80546,"(40.666893, -73.80546)",NORTH CONDUIT AVENUE            ,134 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3777060,Sedan,Sedan,,,
06/30/2021,18:20,,,40.695114,-73.93194,"(40.695114, -73.93194)",BROADWAY,HART STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4433656,Bike,,,,
05/17/2015,14:10,QUEENS,11358,40.7677638,-73.7893167,"(40.7677638, -73.7893167)",33 AVENUE                       ,JORDAN STREET                   ,,1,0,0,0,0,0,1,0,Physical Disability,Unspecified,Unspecified,Unspecified,,3222027,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
02/03/2013,14:45,MANHATTAN,10002,40.7124893,-73.9837751,"(40.7124893, -73.9837751)",MONROE STREET                   ,GOUVERNEUR STREET               ,,0,0,0,0,0,0,0,0,Unspecified,,,,,12790,SPORT UTILITY / STATION WAGON,,,,
02/05/2019,16:00,,,40.736916,-73.85429,"(40.736916, -73.85429)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,4075543,Motorcycle,,,,
04/11/2016,8:30,,,,,,50 AVENUE                       ,JACKSON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3425829,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
12/06/2017,20:10,,,40.7524,-73.74622,"(40.7524, -73.74622)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3804217,Sedan,Sedan,,,
10/23/2014,8:50,,,40.7924385,-73.9342591,"(40.7924385, -73.9342591)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2853808,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
03/20/2017,14:30,QUEENS,11101,40.741028,-73.93432,"(40.741028, -73.93432)",48 AVENUE                       ,VANDAM STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3635912,Station Wagon/Sport Utility Vehicle,Sedan,,,
